tmdb_id,tmdb_fetch_status,tmdb_title,tmdb_release_date,tmdb_original_language,tmdb_popularity,tmdb_budget,tmdb_revenue,tmdb_status,tmdb_vote_average,tmdb_vote_count,tmdb_primary_company,tmdb_primary_country
568,ok,Apollo 13,1995-06-30,en,7.227,52000000,355237933,Released,7.456,5868,Imagine Entertainment,United States of America
11780,ok,Rob Roy,1995-04-13,en,3.1073,28000000,31600000,Released,6.708,704,United Artists,United Kingdom
414,ok,Batman Forever,1995-06-16,en,6.3725,100000000,336529144,Released,5.5,5556,Warner Bros. Pictures,United States of America
8839,ok,Casper,1995-05-26,en,6.742,50000000,287928194,Released,6.338,4906,The Harvey Entertainment Company,United States of America
10329,ok,Congo,1995-06-09,en,4.2036,50000000,152022101,Released,5.599,980,Paramount Pictures,United States of America
8963,ok,Crimson Tide,1995-05-12,en,5.5476,53000000,157387195,Released,7.182,1974,Hollywood Pictures,United States of America
8068,ok,Desperado,1995-08-25,en,6.2808,7000000,25405445,Released,6.935,3116,Columbia Pictures,United States of America
1572,ok,Die Hard: With a Vengeance,1995-05-19,en,6.7538,90000000,366101666,Released,7.28,6627,20th Century Fox,United States of America
6520,ok,First Knight,1995-07-07,en,4.6357,55000000,127600435,Released,6.11,1331,First Knight Productions,United States of America
10428,ok,Hackers,1995-09-14,en,5.3041,20000000,7563728,Released,6.4,1459,Suftley,United States of America
9886,ok,Johnny Mnemonic,1995-05-26,en,3.889,25000000,19075720,Released,5.77,1506,TriStar Pictures,Canada
9482,ok,Judge Dredd,1995-06-30,en,6.1943,90000000,113493481,Released,5.855,2719,Cinergi Pictures,United States of America
9344,ok,Kids,1995-07-21,en,5.7043,1500000,20412216,Released,6.895,1276,The Guys Upstairs,United States of America
2293,ok,Mallrats,1995-10-20,en,3.1095,6000000,2122561,Released,6.76,1371,Gramercy Pictures,United States of America
1642,ok,The Net,1995-07-28,en,3.7033,22000000,110627965,Released,6.038,1510,Columbia Pictures,United States of America
11472,ok,Nine Months,1995-07-12,en,2.6513,35000000,138500000,Released,5.728,705,1492 Pictures,United States of America
10802,ok,Showgirls,1995-09-22,en,7.7893,45000000,20367472,Released,5.578,1373,Chargeurs,United States of America
9348,ok,Species,1995-07-07,en,6.2207,35000000,113400000,Released,5.975,1831,Metro-Goldwyn-Mayer,United States of America
281,ok,Strange Days,1995-10-13,en,3.7237,42000000,7959291,Released,7.008,1528,Lightstorm Entertainment,United States of America
9090,ok,"To Wong Foo, Thanks for Everything! Julie Newmar",1995-09-08,en,4.6268,0,47774193,Released,7.371,762,Amblin Entertainment,United States of America
3512,ok,Under Siege 2: Dark Territory,1995-07-13,en,4.0926,60000000,104324083,Released,5.864,1011,Regency Enterprises,United States of America
